tconst	imdb_id	primaryTitle	startYear	averageRating	numVotes
tt0117951	117951	Trainspotting	1996	8.1	724335
tt1981115	1981115	Thor: The Dark World	2013	6.8	723713
tt1270798	1270798	X-Men: First Class	2011	7.7	722469
tt1386697	1386697	Suicide Squad	2016	5.9	721240
tt0478970	478970	Ant-Man	2015	7.2	720558
tt0405159	405159	Million Dollar Baby	2004	8.1	720538
tt1951264	1951264	The Hunger Games: Catching Fire	2013	7.5	719751
tt0062622	62622	2001: A Space Odyssey	1968	8.3	717776
tt0816711	816711	World War Z	2013	7.0	717773
tt0113277	113277	Heat	1995	8.3	717515
tt2250912	2250912	Spider-Man: Homecoming	2017	7.4	717398
tt0054215	54215	Psycho	1960	8.5	716749
tt1136608	1136608	District 9	2009	7.9	715741
tt2802144	2802144	Kingsman: The Secret Service	2014	7.7	714620
tt0144084	144084	American Psycho	2000	7.6	712453
tt15398776	15398776	Oppenheimer	2023	8.3	709502
tt0078788	78788	Apocalypse Now	1979	8.4	708513
tt1504320	1504320	The King's Speech	2010	8.0	707126
tt1670345	1670345	Now You See Me	2013	7.2	706681
tt0316654	316654	Spider-Man 2	2004	7.5	706372
tt1170358	1170358	The Hobbit: The Desolation of Smaug	2013	7.8	703856
tt0780504	780504	Drive	2011	7.8	702885
tt0457430	457430	Pan's Labyrinth	2006	8.2	701882
tt0948470	948470	The Amazing Spider-Man	2012	6.9	700706
tt0451279	451279	Wonder Woman	2017	7.3	698591
tt0421715	421715	The Curious Case of Benjamin Button	2008	7.8	694502
tt5052448	5052448	Get Out	2017	7.8	693669
tt0381061	381061	Casino Royale	2006	8.0	693421
tt0449088	449088	Pirates of the Caribbean: At World's End	2007	7.1	692022
tt1745960	1745960	Top Gun: Maverick	2022	8.2	691340
tt0295297	295297	Harry Potter and the Chamber of Secrets	2002	7.4	690803
tt0304141	304141	Harry Potter and the Prisoner of Azkaban	2004	7.9	689913
tt3748528	3748528	Rogue One: A Star Wars Story	2016	7.8	685079
tt0107048	107048	Groundhog Day	1993	8.0	683455
tt0330373	330373	Harry Potter and the Goblet of Fire	2005	7.7	679944
tt0369610	369610	Jurassic World	2015	6.9	678190
tt0418279	418279	Transformers	2007	7.0	673586
tt8579674	8579674	1917	2019	8.2	672386
